Name,Smiles,Centryn,Cluster
STOCK1N-40733,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1.O=S(=O)(O)O,1,1
STOCK1N-93358,CC=C1CN2CCC34C(=C(C=O)C1CC23)Nc1c(O)cccc14.O=[N+]([O-])O,0,1
T5810,CCC12C=CCN3CCC4(C(=C(C(=O)OC)C1)Nc1ccccc14)C32.Cl,0,1
T8126,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(C)c(CC(=O)[O-])s3)CSC12)c1csc(N)n1.[Na+].[Na+],0,1
STOCK1N-06853,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,0,1
T0052L,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46.O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46.O=S(=O)(O)O,0,1
T4952,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,0,1
STOCK1N-49530,CC=C1CN2C3CC1C1(C(=O)OC)C2CC2(c4ccccc4NC32)C1O.Cl,0,1
STOCK1N-52458,CC=C1CN2C3CC1C1(C(=O)OC)C2CC2(c4ccccc4NC32)C1O,0,1
STOCK1N-23706,CC=C1C[N+]2(C)C3CC1C1(C(=O)OC)C(O)C4(CC12)c1ccccc1NC34.[Cl-],0,1
T8347,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,0,1
STOCK1N-52199,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,0,1
STOCK1N-70511,COc1c2c(nc3occc13)C1(OC)CCC(C)(C)OC1(O)CC2,0,1
T4984,CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CSC12)c1nsc(N)n1.Cl,0,1
STOCK1N-54308,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,0,1
STOCK1N-52282,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC.Cl,0,1
T2782L,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13.O=C(O)C(O)C(O)C(=O)O,0,1
TN2460,CCc1ccc(O)c2cc3c(nc12)-c1cc2c(c(=O)n1C3)COC(=O)C2(O)CC,0,1
STOCK1N-51328,COc1ccc2c3c1OC1C(=O)C=CC4(O)C(C2)N(C)CCC314,0,1
STOCK1N-51363,CC=C1CN2CCC34C(=C(C(=O)OC)C1CC23)Nc1c(O)cccc14.O=S(=O)(O)O,0,1
T8259,CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21.O,0,1
T1687L,CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21.CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21.CCO.Cl.Cl.O,0,1
STOCK1N-05772,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43.O,0,1
T8039,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43.O.O.O.O.O.O.O.O=S(=O)(O)O,0,1
STOCK1N-94753,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.O,0,1
STOCK1N-95274,CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21,0,1
T1400,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12.Cl,0,1
STOCK1N-54066,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5.Cl,0,1
STOCK1N-69417,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5.Cl,0,1
STOCK1N-93472,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,0,1
T0912,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.Cl,0,1
STOCK1N-34277,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,0,1
STOCK1N-42738,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.Cl,0,1
TN7030,COC1=C(OC)C(=O)C23C(=C1)CC(C)C2(C)C(O)c1cc2c(c(OC)c13)OCO2,0,1
T0518,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12.Cl,0,1
STOCK1N-51719,C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12.Cl,0,1
T0895,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,0,1
STOCK1N-50853,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl,0,1
T8641,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,0,1
T6228,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,0,1
T0486,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC.Cl.O.O.O,0,1
T1304,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl,0,1
STOCK1N-05570,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl,0,1
STOCK1N-75519,CCC12C=CCN3CCC4(c5ccc(OC)cc5N(C)C4C(O)(C(=O)OC)C1OC(C)=O)C32,0,1
